TimeGenerated,UserPrincipalName,IPAddress,Location,City,ResultType,AppDisplayName,ClientAppUsed,AuthenticationRequirement,RiskLevelDuringSignIn,DeviceDetail_displayName
2026-07-16T04:57:26.0000000Z,l.moreau@northstarhealth.org,99.243.33.245,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS031
2026-07-16T06:16:26.0000000Z,m.lindqvist@northstarhealth.org,99.243.16.216,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-16T07:51:26.0000000Z,t.silvestri@northstarhealth.org,99.243.54.37,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-16T08:05:26.0000000Z,h.nakamura@northstarhealth.org,99.243.194.68,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-16T08:11:26.0000000Z,d.whitfield@northstarhealth.org,99.243.168.199,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-16T10:44:26.0000000Z,p.deshmukh@northstarhealth.org,99.243.208.250,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS032
2026-07-16T14:29:26.0000000Z,r.kaur@northstarhealth.org,99.243.156.7,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-16T14:49:26.0000000Z,a.oyelaran@northstarhealth.org,99.243.19.150,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-16T14:59:26.0000000Z,s.tremblay@northstarhealth.org,99.243.246.85,CA,Toronto,0,Office365 Shell WCSS,Browser,multiFactorAuthentication,none,NSH-CLIN-WS012
2026-07-16T15:52:26.0000000Z,k.abebe@northstarhealth.org,99.243.35.43,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-ADMIN-WS032
2026-07-16T17:44:26.0000000Z,j.okafor@northstarhealth.org,99.243.125.177,CA,Toronto,0,OfficeHome,Browser,multiFactorAuthentication,none,NSH-RSCH-WS041
2026-07-17T06:48:26.0000000Z,k.abebe@northstarhealth.org,99.243.70.208,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-CLIN-WS011
2026-07-17T06:58:26.0000000Z,s.tremblay@northstarhealth.org,99.243.87.76,CA,Toronto,0,Microsoft Teams,Browser,multiFactorAuthentication,none,NSH-RSCH-WS042
2026-07-17T07:20:26.0000000Z,j.okafor@northstarhealth.org,99.243.221.37,CA,Toronto,0,Outlook Web App,Browser,multiFactorAuthentication,none,NSH-LAB-WS051
